koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_slogg,ra,dec
0,0,1,0,0,1.736952453,170.307565,2.40641,8.08E+03,33.46,1395,891.96,505.6,1,q1_q17_dr25_tce,4.564,285.53461,48.28521
0,0,1,1,0,7.36178958,132.25053,5.022,2.34E+02,39.21,1342,767.22,47.7,1,q1_q17_dr25_tce,3.986,298.86435,42.151569
0,0,1,0,0,11.52144606,170.839688,3.6399,1.80E+04,150.51,753,75.88,622.1,1,q1_q17_dr25_tce,4.554,297.07993,47.597401
0,0,1,0,0,19.40393776,172.484253,12.2155,8.92E+03,7.18,523,17.69,214.7,1,q1_q17_dr25_tce,4.591,289.25821,47.635319
0,0,1,0,0,19.22138894,184.5521637,4.79843,7.43E+04,49.29,698,55.97,2317,1,q1_q17_dr25_tce,4.496,295.81454,47.69035
0,0,1,0,0,16.46983774,180.881761,9.4378,1.05E+04,7.94,595,29.61,303.4,1,q1_q17_dr25_tce,4.517,297.15442,47.668701
0,0,1,1,1,2.696370652,170.73769,3.6129,3.98E+02,1.58,1066,305.34,48.2,1,q1_q17_dr25_tce,4.504,283.76547,47.804298
,0,1,0,0,386.6030528,166.342079,6.8057,2.49E+04,41.5,297,1.84,994,1,q1_q16_tce,4.081,292.27374,37.671558
0,0,0,1,0,1.50635409,170.998064,1.5155,2.21E+03,4.53,1452,1054.12,181.1,1,q1_q17_dr25_tce,4.563,295.66522,49.351009
0,0,1,1,0,670.645531,209.04355,53.412,1.81E+04,14.14,196,0.35,642.7,1,q1_q17_dr25_tce,4.466,296.69861,49.316479
0,0,1,0,0,61.2563628,173.83826,7.633,5.12E+03,39.87,505,15.43,85.3,1,q1_q17_dr25_tce,4.402,283.72592,49.479519
0,0,1,1,0,2.701287801,170.69579,3.3827,8.60E+02,6.54,1222,527.81,48.3,1,q1_q17_dr25_tce,4.468,297.92365,48.777321
0,0,1,0,0,19.65120951,179.401981,5.2514,1.18E+04,12.42,730,67.03,513.4,1,q1_q17_dr25_tce,4.391,291.0939,48.933842
0,0,1,1,0,33.93373447,186.67608,14.561,8.50E+03,7.34,430,8.11,236.1,1,q1_q17_dr25_tce,4.628,284.17233,49.360722
0.014,0,1,0,0,7.442652004,169.9717797,2.3078,2.44E+04,15.03,967,206.78,835.6,1,q1_q17_dr25_tce,4.469,288.98682,49.733742
0,0,1,0,0,10.40599802,177.197466,6.5036,1.45E+04,11.23,833,113.94,745.2,1,q1_q17_dr25_tce,4.393,289.23553,50.241001
0,0,1,1,0,3.341913228,171.63943,3.813,7.25E+02,21.55,1032,268.67,39,1,q1_q17_dr25_tce,4.551,292.31595,38.27029
